ID,Longitude,Latitude
AMCC266297,-84.36819,31.32126
AMCC266279,-85.02119,31.67147
AMCC266288,-81.44868,27.85655
AMCC266300,-83.51659,32.66002
AMCC266302,-82.50691,32.03915
AMCC266306,-83.664,30.06986
AMCC266312,-82.63957,29.60508
AMCC266317,-85.22103,30.33418
AMCC266322,-86.26267,31.39626
